Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Ridle Baku,AM,Jean-Paul Boëtius,Daniel Caligiuri,Rubén García,Marc Cucurella,Mikkel Damsgaard,Rubén Rochina,Dwight McNeil,Óscar Plano,Manu Trigueros,Renato Steffen
Demarai Gray,AM,Leon Bailey,Kylian Mbappé,Lionel Messi,Kingsley Coman,Neymar,Moussa Diaby,Adnan Januzaj,Ousmane Dembélé,Leroy Sané,Riyad Mahrez
Petar Musa,FW,Raúl García,Enes Ünal,Sergi Enrich,Eldor Shomurodov,Oliver McBurnie,Josh Sargent,Joelinton,Fabian Klos,Jay Rodriguez,Santi Mina
Benjamin Pavard,FB,Hamari Traoré,Alex Sandro,Dani Carvajal,Oleksandr Zinchenko,Reece James,Layvin Kurzawa,César Azpilicueta,Timothy Castagne,Patrick van Aanholt,Hassane Kamara
Oliver Baumann,GK,Lukáš Hrádecký,Péter Gulácsi,Antonio Mirante,Koen Casteels,Anthony Lopes,Aitor Fernández,Andrea Consigli,Yann Sommer,Pepe Reina,Álvaro Fernández
Nico Elvedi,CB,Adama Soumaoro,Éder Militão,Yunis Abdelhamid,Romain Thomas,John Boye,Jean-Charles Castelletto,Jan Bednarek,Daniel Congré,Manuel Gulde,Stefan de Vrij
Joshua Kimmich,MF,Toni Kroos,Florian Neuhaus,Curtis Jones,Fabián Ruiz Peña,Kerem Demirbay,Benjamin Bourigeaud,Marcel Sabitzer,Téji Savanier,Lorenzo Pellegrini,Luis Alberto
Kevin Mbabu,FB,Stefan Lainer,Paulo Otávio,Hugo Mallo,Ander Capa,Davide Calabria,Ryan Sessegnon,James Justin,Kingsley Ehizibue,Serge Aurier,Rubén Peña
Christoph Kramer,MF,Morgan Schneiderlin,Haris Belkebla,Harrison Reed,Boubacar Kamara,Didier Ibrahim Ndong,Pedro Obiang,Walace,Douglas Luiz,Nemanja Matić,Albin Ekdal
Stefan Lainer,FB,Ryan Sessegnon,James Justin,Ander Capa,Kevin Mbabu,Birger Meling,Zeki Çelik,Maximilian Mittelstädt,Davide Calabria,Luke Thomas,Renan Lodi
Justin Kluivert,AM,Portu,José Luis Morales,Moses Simon,Pierre-Emerick Aubameyang,Ferrán Torres,Richarlison,Roland Sallai,Musa Barrow,Robin Quaison,João Pedro
Joaquín,AM,Sergio Canales,Willian,Martin Ødegaard,Federico Bernardeschi,Jonathan Bamba,Piotr Zieliński,Antonio Candreva,Vincenzo Grifo,Denis Suárez,Suso
Djibril Sow,MF,N'Golo Kanté,Rodrigo Bentancur,Maxence Caqueret,James McArthur,Kevin Strootman,Sebastian Rode,Jorginho,Remo Freuler,Harrison Reed,Andre-Frank Zambo Anguissa
Luka Jović,FW,Andrea Petagna,Felipe Caicedo,Nikola Kalinić,Willian José,Alexander Isak,Sehrou Guirassy,Jorge Molina,João Félix,Dušan Vlahović,Jean-Philippe Mateta
Niclas Füllkrug,FW,Christian Benteke,Kike,Steve Mounié,Olivier Giroud,Ante Budimir,Joselu,Youssef En-Nesyri,Tammy Abraham,Nils Petersen,Sergi Enrich
Douglas Costa,AM,Jadon Sancho,Willian,Jack Grealish,Adnan Januzaj,Dejan Kulusevski,Suso,Sergio Canales,Angelo Fulgini,Dimitri Payet,Papu Gómez
Klaas-Jan Huntelaar,FW,Antonio Sanabria,Josh Maja,Hwang Ui-jo,Willian José,Habib Diallo,Arkadiusz Milik,Asier Villalibre,Kevin Lasagna,Santi Mina,Darío Benedetto
Thorgan Hazard,AM,Julian Brandt,James Rodríguez,Marco Reus,Lorenzo Pellegrini,Hakim Ziyech,Mikel Oyarzabal,Jonathan Bamba,Gio Reyna,Josip Brekalo,Rodrygo
Jean-Philippe Mateta,FW,Dominic Calvert-Lewin,Chris Wood,Dušan Vlahović,Patrik Schick,Sehrou Guirassy,Asier Villalibre,Jamie Vardy,Alexander Isak,Lucas Alario,Tammy Abraham
Amos Pieper,CB,Ohis Felix Uduokhai,Ben Godfrey,Maxence Lacroix,Danilo Larangeira,Andrew Gravillon,Diego Godín,Ozan Kabak,Andrei Girotto,Willy Boly,Keven Schlotterbeck
Ádám Szalai,FW,Jonathan Calleri,Jaime Mata,Kike,Sergi Enrich,Joselu,Steve Mounié,Anthony Lozano,Sebastian Andersson,Enes Ünal,Ante Budimir
Sven Schipplock,FW,Josh Sargent,Sergi Guardiola,Oliver McBurnie,Oliver Burke,Joelinton,Raúl García,Lucas Boyé,Eldor Shomurodov,Fabian Klos,Jay Rodriguez
Nassim Boujellab,AM,Renaud Ripart,Óscar Plano,Marc Cucurella,Trézéguet,Édgar Méndez,Niclas Eliasson,Bobby Reid,Aitor Ruibal,Yunus Musah,Jóhann Berg Guðmundsson
Timo Becker,CB,Ben White,Chris Basham,Mason Holgate,Rodrigo Becão,Jerry St. Juste,Stefan Posch,Domenico Criscito,Ethan Ampadu,Koffi Djidji,Niklas Stark
Timo Becker,FB,Isaac Carcelen,Sacha Boey,Nacho Vidal,Kingsley Ehizibue,Alfonso Espino,Ximo Navarro,Anderson Lucoqui,Enda Stevens,Fabio Depaoli,Tyrick Mitchell
Kerem Demirbay,MF,Lucas Paquetá,Mason Mount,Luis Alberto,Nicolò Barella,Téji Savanier,Kevin De Bruyne,Lorenzo Pellegrini,Rafinha,Nadiem Amiri,Manu Trigueros
Vincenzo Grifo,AM,Matheus Pereira,Lorenzo Pellegrini,Antonio Candreva,Hakan Çalhanoğlu,Dimitri Payet,Papu Gómez,Federico Bernardeschi,James Rodríguez,Hakim Ziyech,Jonas Hofmann
Nadiem Amiri,MF,Sergio Canales,Houssem Aouar,Piotr Zieliński,Bernardo Silva,Florent Mollet,Lorenzo Pellegrini,Luis Alberto,David Silva,Florian Wirtz,Rodrigo De Paul
Nadiem Amiri,AM,Martin Ødegaard,Sergio Canales,Willian,Papu Gómez,Farid Boulaya,Piotr Zieliński,Bersant Celina,Antonio Candreva,Angelo Fulgini,Suso
Anderson Lucoqui,FB,Isaac Carcelen,Nacho Vidal,Alfonso Espino,Cédric Brunner,Juan Cruz Armada,Joel Ward,Charles Traore,Tyrick Mitchell,Bartosz Bereszyński,Damián Suárez
Charles Aránguiz,MF,Thiago Mendes,Tyler Adams,Morgan Schneiderlin,Koke,Përparim Hetemaj,Harrison Reed,Jorginho,Pierre Højbjerg,Fabien Lemoine,Haris Belkebla
David Abraham,CB,Nikola Milenković,Moussa Niakhate,Marvin Friedrich,Samir Santos,Romain Saïss,Diego Llorente,Jean-Kevin Duverne,Armando Izzo,Lukas Klostermann,John Brooks
Mickaël Cuisance,MF,Eduardo Camavinga,Hicham Boudaoui,Gaetano Castrovilli,Saša Lukić,Karol Linetty,Mason Mount,Roque Mesa,Adrien Rabiot,Nahitan Nández,Marko Rog
Mickaël Cuisance,AM,Moi Gómez,Samu Castillejo,Manu Trigueros,Miguel Almirón,Sofiane Diop,Stuart Armstrong,Daniel Caligiuri,Ruben Loftus-Cheek,Eric Junior Dina Ebimbe,Nathanael Mbuku
Atakan Karazor,CB,Steven Fortes,Tuta,Ivan Radovanović,Julien Laporte,Jonathan Panzo,Jorge Meré,Jordan Torunarigha,Joakim Nilsson,Rúben Vezo,Pablo Insua
Jude Bellingham,MF,Mikel Merino,Weston McKennie,Arturo Vidal,Sergej Milinković-Savić,Marcos Llorente,Mason Mount,Lucas Paquetá,Xaver Schlager,Nicolás Domínguez,Pedri
Mads Pedersen,FB,Phillipp Mwene,Alfonso Espino,Isaac Carcelen,Jamal Lewis,Matty Cash,Tyrick Mitchell,Sacha Boey,Raphael Framberger,Nacho Vidal,Sofiane Alakouch
Deyovaisio Zeefuik,FB,Matt Doherty,Giuseppe Pezzella,Luke Thomas,Carlos Clerc,Ander Capa,Ludwig Augustinsson,Hugo Mallo,Kevin Mbabu,Ryan Sessegnon,Juan Miranda
Steven Skrzybski,AM,Renaud Ripart,Theo Walcott,Ritsu Doan,Óscar Plano,Pablo Fornals,Niclas Eliasson,Kenedy,Samu Castillejo,Antonio Puertas,Mathieu Cafaro
Benjamin Stambouli,CB,Marco Friedl,Koffi Djidji,Mason Holgate,Ethan Ampadu,Tuta,Ben White,Ștefan Radu,Jonathan Gradit,Domenico Criscito,Chris Basham
Benjamin Stambouli,MF,Omar Mascarell,Diadie Samassékou,Renato Tapia,Dani García,Iván Marcone,Isaac Hayden,Nemanja Radoja,Tomás Pina Isla,Harrison Reed,Didier Ibrahim Ndong
Rani Khedira,MF,Papakouli Diop,Yan Brice Eteki,Yannick Cahuzac,Rodrigo Battaglia,Jack Cork,Tomás Pina Isla,Artur Ioniță,Jens Jønsson,Fede San Emeterio,José Mari
Tobin Heath,AM,Ella Toone,Lauren James,Janine Beckie,Jordan Nobbs,Pernille Harder,Chloe Kelly,Lauren Hemp,Beth Mead,Fran Kirby,Vivianne Miedema
Robin Zentner,GK,Alfred Gomis,Steve Mandanda,Jiří Pavlenka,Jonas Omlin,Gautier Larsonneur,Rafał Gikiewicz,Álvaro Fernández,Benoît Costil,Andrés Fernández,Kevin Trapp
Felix Passlack,FB,Davide Calabria,Stuart Dallas,Sergiño Dest,Adrien Truffert,Giorgos Kiriakopoulos,Romain Perraud,Dani Carvajal,Zeki Çelik,James Justin,Lucas Vázquez
Patrik Schick,FW,Lucas Alario,Jean-Philippe Mateta,Tammy Abraham,Erling Haaland,Alexander Isak,Luis Suárez,Wout Weghorst,Gianluca Lapadula,Ollie Watkins,André Silva
Nicolas Höfler,MF,Okay Yokuşlu,Luka Milivojević,Declan Rice,Maxime Gonalons,Tomás Rincón,Diadie Samassékou,Douglas Luiz,Christoph Kramer,Ibrahima Sissoko,Mickael Malsa
Danny da Costa,FB,Pervis Estupiñán,Arkadiusz Reca,Álex Moreno,Jérôme Roussillon,Marius Wolf,Junior Sambia,Pablo Maffeo,Vladimír Coufal,José Luis Gayà,Enda Stevens
Axel Witsel,MF,Georginio Wijnaldum,Mattéo Guendouzi,Franck Kessié,Bryan Cristante,Koke,Steven Nzonzi,Yvan Neyou,Ivan Rakitić,Manuel Locatelli,Kevin Kampl
Baptiste Santamaria,MF,Dominik Kohr,Yangel Herrera,Xaver Schlager,Mikel Vesga,Mauro Arambarri,Danny Latza,Saúl Ñíguez,Leandro Barreiro Martins,Aurélien Tchouaméni,Imran Louza
Waldemar Anton,CB,Francesco Acerbi,Giorgio Chiellini,Nikola Maksimović,Rodrigo Becão,Rob Holding,Jonathan Tah,Ben White,Mario Hermoso,Fabinho,Takehiro Tomiyasu
Mattéo Guendouzi,MF,Koke,Axel Witsel,Jordan Henderson,Orel Mangala,Carlos Soler,Ivan Ilić,Alfred Duncan,Cheick Doucouré,Maximilian Eggestein,Stuart Dallas
Ibrahima Konaté,CB,Marcelo,Axel Disasi,Çağlar Söyüncü,Aritz Elustondo,Adam Webster,Dimitris Siovas,Jean-Kevin Duverne,Gabriel Dos Santos,Marc Bartra,Wesley Fofana
Mateu Morey,FB,Daley Sinkgraven,Elseid Hysaj,Youssouf Sabaly,Wendell,Anthony Caci,Sofiane Alakouch,Andrea Conti,Vincent Le Goff,Jorge Miramón,Danilo
Andrej Kramarić,MF,Piotr Zieliński,Houssem Aouar,Alexis Claude-Maurice,Florian Wirtz,Sergio Canales,Nadiem Amiri,Giacomo Bonaventura,Kevin De Bruyne,Lorenzo Pellegrini,Luis Alberto
Andrej Kramarić,FW,Karim Benzema,Kylian Mbappé,Cristiano Ronaldo,Lionel Messi,Ciro Immobile,Memphis Depay,Duván Zapata,Paulo Dybala,Amine Gouiri,Kelechi Iheanacho
Andrej Kramarić,AM,Raheem Sterling,Mohamed Salah,Kylian Mbappé,Marcus Rashford,Karl Toko Ekambi,Amine Gouiri,Leon Bailey,Marco Asensio,Sadio Mané,Timo Werner
Luca Kilian,CB,Jeison Murillo,Davinson Sánchez,Joakim Nilsson,Luca Marrone,Pablo Insua,Cristián Zapata,Cheikhou Kouyaté,Simone Iacoponi,Jorge Meré,Bruno González
Marcel Hartel,MF,John Lundstram,Karol Linetty,Jaime Seoane,Edu Expósito,Saša Lukić,Mikel Rico,Imran Louza,John Fleck,John McGinn,Adrien Tameze
Marcel Hartel,AM,Marc Cucurella,Josh Brownhill,Allan Nyom,Yunus Musah,Pablo Fornals,Jóhann Berg Guðmundsson,Óscar Plano,Renaud Ripart,Daniel Caligiuri,Miguel Almirón
Jeong Woo-yeong,AM,Matteo Pessina,Adrien Thomasson,Sofiane Diop,Renato Steffen,Daniel James,Álex Berenguer,Roberto Soriano,Franck Honorat,Christoph Baumgartner,Antonín Barák
Raphael Framberger,FB,Matty Cash,Nacho Vidal,Charlie Taylor,Alfonso Espino,Rafa Soares,Anderson Lucoqui,Isaac Carcelen,Joel Ward,Cédric Brunner,Sébastien Corchia
Yannick Gerhardt,MF,Giulio Maggiore,Weston McKennie,Jude Bellingham,Davy Klaassen,Xaver Schlager,Nolito,Marcos Llorente,Elvis Rexhbeçaj,Brais Méndez,Juraj Kucka
Yannick Gerhardt,AM,Marc Cucurella,Renato Steffen,Niclas Eliasson,Jean-Paul Boëtius,Bobby Reid,Óscar Plano,Rubén García,Daniel Caligiuri,Jakub Jankto,Antonín Barák
Jean-Paul Boëtius,MF,Nolito,Marcos Llorente,John McGinn,Gaetano Castrovilli,Lorenzo Pellegrini,Elvis Rexhbeçaj,Jude Bellingham,Christoph Baumgartner,Nahitan Nández,Florian Wirtz
Jean-Paul Boëtius,AM,Daniel Caligiuri,Andros Townsend,Marc Cucurella,Rubén García,Ridle Baku,Mikkel Damsgaard,Pablo Fornals,Dwight McNeil,Niclas Eliasson,Jon Morcillo
Masaya Okugawa,MF,Brais Méndez,Giulio Maggiore,Darko Brašanac,Saša Lukić,Rolando Mandragora,Elvis Rexhbeçaj,Abdoulaye Doucouré,Jaime Seoane,Davy Klaassen,Toma Bašić
Corentin Tolisso,MF,Roberto Gagliardini,Ivan Rakitić,Arturo Vidal,Antonín Barák,Jordan Veretout,Curtis Jones,Gonzalo Melero,Brais Méndez,Stuart Dallas,Benjamin Bourigeaud
Levin Öztunalı,AM,Daniel Caligiuri,Aitor Ruibal,Marc Cucurella,Mikkel Damsgaard,Óscar Plano,Rubén García,Andros Townsend,Luis Rioja,Kenedy,Jean-Paul Boëtius
Ohis Felix Uduokhai,CB,Amos Pieper,Ozan Kabak,Yeray Álvarez,Keven Schlotterbeck,Ciaran Clark,Ben Godfrey,Óscar Duarte,Omar Alderete,Alexander Hack,Felipe
Gonzalo Castro,MF,Houssem Aouar,Piotr Zieliński,Lorenzo Pellegrini,Sergio Canales,Luis Alberto,Nadiem Amiri,Florian Wirtz,Seko Fofana,Rodrigo De Paul,Kevin De Bruyne
Gonzalo Castro,AM,Vincenzo Grifo,Sergio Canales,Antonio Candreva,Roberto Soriano,Angelo Fulgini,Willian,Ross Barkley,Matheus Pereira,Jonathan Bamba,Hamed Junior Traorè
Julian Baumgartlinger,MF,Ellyes Skhiri,Marco Parolo,Mahdi Camara,Saúl Ñíguez,Adrien Rabiot,Abdoulaye Doucouré,Pedro Obiang,Tiemoué Bakayoko,Wataru Endo,Koke
Dominique Heintz,CB,Andrea Masiello,Robson Bambu,Presnel Kimpembe,Dylan Bronn,Steven Fortes,Rúben Vezo,Tuta,Sebastiano Luperto,Jean-Kevin Duverne,Sebastian Walukiewicz
Ryan Sessegnon,FB,Stefan Lainer,Birger Meling,Zeki Çelik,Luke Thomas,James Justin,Sergio Reguilón,Serge Aurier,Renan Lodi,Davide Calabria,Romain Perraud
Robin Knoche,CB,Wesley Hoedt,Jan Bednarek,Julien Laporte,Wout Faes,Daniel Congré,Luca Ceppitelli,Jorge Meré,Vladimir Golemić,Eric Dier,Duje Ćaleta-Car
Milot Rashica,FW,Richarlison,Junior Messias,Jordan Ayew,Ondrej Duda,José Luis Morales,Wilfried Zaha,Joelinton,Romain Hamouma,Musa Barrow,Lucas Pérez
Milot Rashica,AM,Jonathan Ikone,Gonçalo Guedes,Eric Junior Dina Ebimbe,Takashi Inui,Daniel Podence,Rony Lopes,Fabián Orellana,Ritsu Doan,Darwin Machís,Richarlison
Håvard Nordtveit,CB,Eric Dier,Lyanco,Joseph Aidoo,Rob Holding,Aritz Elustondo,Loïc Bade,Ohis Felix Uduokhai,Toby Alderweireld,Çağlar Söyüncü,Jean-Kevin Duverne
Youssoufa Moukoko,FW,Kelechi Iheanacho,Ciro Immobile,Gabriel Jesus,Moanes Dabour,Michail Antonio,Lautaro Martínez,Borja Mayoral,Alexander Isak,Timo Werner,Robert Lewandowski
Kevin Akpoguma,CB,Tuta,Ben White,Koffi Djidji,Jean-Kevin Duverne,Domenico Criscito,Aleksandar Dragović,Ethan Ampadu,Mario Hermoso,Patric,Stefan Posch
Ruben Vargas,AM,Ludovic Blas,Kenedy,Marcus Thuram,Bobby Reid,Aitor Ruibal,Álex Berenguer,Enis Bardhi,Luis Rioja,Trézéguet,Bertrand Traoré
Marcus Thuram,FW,Ihlas Bebou,Amine Gouiri,Yussuf Poulsen,Florian Sotoca,Lucas Höler,Andrea Belotti,Danny Ings,Alexandre Lacazette,Musa Barrow,Gerard Moreno
Marcus Thuram,AM,Tino Kadewere,Ferrán Torres,Nicolas Pépé,Pierre-Emerick Aubameyang,Gaëtan Laborde,Roland Sallai,Ruben Vargas,Yoane Wissa,Bertrand Traoré,Richarlison
Aleksandar Dragović,CB,Clément Lenglet,Kevin Vogt,Jérôme Boateng,Patric,Nikola Maksimović,Makoto Hasebe,Kalidou Koulibaly,Facundo Medina,Lukas Klostermann,Fabinho
Aleksandar Dragović,FB,Takehiro Tomiyasu,Loris Benito,Fouad Chafik,Luca Vignali,Ben Davies,Muzinga Ngonda,Vincent Manceau,José Ángel,Antonio Barragán,Bartosz Bereszyński
Janik Haberer,MF,Rolando Mandragora,Yangel Herrera,John Lundstram,Toma Bašić,Adrien Tameze,Mikel Vesga,Uroš Račić,Mauro Arambarri,Morten Thorsby,Josh Brownhill
Lucas Tousart,MF,Rubén Alcaraz,Nemanja Maksimović,Lucas Torró,Papakouli Diop,Jon Moncayola,Mauro Arambarri,Lamine Fomba,Josh Brownhill,Marshall Munetsi,Mikel Vesga
Niko Gießelmann,FB,Damián Suárez,Dennis Appiah,Hiroki Sakai,Joel Ward,Anderson Lucoqui,Fábio,Nacho Vidal,Charles Traore,Matt Targett,Ben Davies
Daley Sinkgraven,FB,Youssouf Sabaly,Mateu Morey,Kyle Walker-Peters,Wendell,Elseid Hysaj,Alejandro Pozo Pozo,Jordan Lotomba,Javi Galán,Anthony Caci,Benjamin Mendy
Robin Quaison,FW,Josh Sargent,Roger Martí,Che Adams,Richarlison,Randal Kolo Muani,Romain Hamouma,José Luis Morales,Anthony Lozano,Neal Maupay,Sergi Guardiola
Robin Quaison,AM,Portu,José Luis Morales,Dodi Lukebakio,Richarlison,João Pedro,Yoane Wissa,Kevin Volland,Roland Sallai,Édgar Méndez,Trézéguet
Jeremie Frimpong,FB,Leonardo Spinazzola,Pervis Estupiñán,Yannick Carrasco,Tariq Lamptey,Pol Lirola,Rayan Aït Nouri,Manuel Lazzari,José Luis Gayà,Achraf Hakimi,Arkadiusz Reca
Kingsley Ehizibue,FB,Thierry Correia,Nacho Vidal,Dennis Appiah,Sébastien Corchia,Enda Stevens,Sacha Boey,Rober Correa,Mathías Olivera,Mario Gaspar,Fabien Centonze
Philipp Förster,AM,Mason Mount,Ayoze Pérez,Adrien Thomasson,Sofiane Diop,Luiz Araújo,Hamed Junior Traorè,Romain Faivre,Alexis Saelemaekers,Julian Brandt,Gaël Kakuta
Salif Sané,CB,Ohis Felix Uduokhai,John Brooks,Federico Ceccherini,Ozan Kabak,Sven Bender,Dimitris Siovas,Amos Pieper,Yeray Álvarez,Diego Godín,Takehiro Tomiyasu
Pavel Kadeřábek,FB,Andrew Robertson,Borna Sosa,Cristiano Biraghi,Angeliño,Jesús Navas,Federico Dimarco,Darko Lazović,Jordi Alba,Christian Günter,José Luis Gayà
Ondrej Duda,MF,Alexis Claude-Maurice,John McGinn,Christoph Baumgartner,Nahitan Nández,Edu Expósito,Florian Wirtz,Giacomo Bonaventura,Gaetano Castrovilli,Lorenzo Pellegrini,Manu Trigueros
Ondrej Duda,FW,Junior Messias,Jordan Ayew,Joelinton,Josh Sargent,Ángel Correa,Romain Hamouma,Franck Ribéry,David McGoldrick,Richarlison,Wilfried Zaha
Ondrej Duda,AM,Rubén Rochina,Daniel Caligiuri,Manu Trigueros,Jean-Paul Boëtius,Stuart Armstrong,Rubén García,Mikkel Damsgaard,Aitor Ruibal,Gaël Kakuta,Tete Morente
Ermin Bičakčić,CB,Yerry Mina,Romain Saïss,Kurt Zouma,Craig Dawson,Marquinhos,Shkodran Mustafi,John Brooks,Lewis Dunk,Marcelo,Guillermo Maripán
Ademola Lookman,FW,Junior Messias,Ondrej Duda,Franck Ribéry,Wilfried Zaha,Amine Gouiri,Ángel Correa,Romain Hamouma,Musa Barrow,Jordan Ayew,Joelinton
Ademola Lookman,AM,Takefusa Kubo,Bryan,Nathan Redmond,Nicola Sansone,Dejan Kulusevski,Luiz Araújo,Jeremy Doku,Rony Lopes,Hamed Junior Traorè,Romain Faivre
Dedryck Boyata,CB,Chris Smalling,Loïck Landre,Diego Carlos,Aïssa Mandi,Lewis Dunk,Philipp Lienhart,Michael Keane,Raphaël Varane,Manuel Gulde,Angelo Ogbonna
Christopher Nkunku,MF,Christoph Baumgartner,Lorenzo Pellegrini,Florian Wirtz,Kevin De Bruyne,Lucas Paquetá,Mason Mount,Houssem Aouar,Antonín Barák,Piotr Zieliński,Alexis Claude-Maurice
Christopher Nkunku,FW,Ángel Correa,Roberto Firmino,Amine Gouiri,Alexis Sánchez,Antoine Griezmann,Paulo Dybala,Iago Aspas,Musa Barrow,Ihlas Bebou,Dries Mertens
Christopher Nkunku,AM,Marco Reus,Thomas Müller,Pablo Sarabia,Henrikh Mkhitaryan,Kingsley Coman,Christian Pulisic,Filip Đuričić,Daichi Kamada,Leroy Sané,Rodrygo
Lars Stindl,AM,Dani Olmo,Marco Reus,Jack Harrison,Filip Đuričić,Lorenzo Pellegrini,Thomas Müller,Daichi Kamada,Christopher Nkunku,Mason Mount,Renato Steffen
Reinhold Yabo,AM,Salvi,Jóhann Berg Guðmundsson,Allan Nyom,Nathanael Mbuku,Josh Brownhill,Yunus Musah,Takashi Inui,Luis Rioja,Óscar Plano,Tete Morente
Stefan Posch,CB,Rafael Tolói,César Azpilicueta,Edmond Tapsoba,Lukas Klostermann,Mario Hermoso,Armando Izzo,Emre Can,Francesco Acerbi,Bryan Cristante,Jerry St. Juste
Stefan Posch,FB,Hugo Mallo,Takehiro Tomiyasu,Nacho Vidal,Bartosz Bereszyński,Luke Ayling,Reinildo Mandava,Joël Veltman,Ben Davies,Fábio,Hiroki Sakai
Javi Martínez,MF,Fabinho,Martín Zubimendi,Morgan Schneiderlin,Bryan Cristante,Nemanja Radoja,Fernando,Vicente Iborra,Scott McTominay,Pape Gueye,Thomas Delaney
Gio Reyna,AM,Rodrygo,Gelson Martins,Bukayo Saka,Julian Brandt,Nabil Fekir,Bryan,Jonathan Bamba,Samuel Chukwueze,Dejan Kulusevski,Ademola Lookman
Andreas Luthe,GK,Marwin Hitz,Steve Mandanda,Emil Audero,Kasper Schmeichel,Bartłomiej Drągowski,Édgar Badía,Paul Bernardoni,Alfred Gomis,Gianluigi Donnarumma,Andrés Fernández
Dominick Drexler,AM,Marc Cucurella,Renato Steffen,Ridle Baku,Niclas Eliasson,Daniel Caligiuri,Óscar Plano,Aitor Ruibal,Antonín Barák,Rubén García,Pablo Fornals
Sebastian Rudy,FB,Ludwig Augustinsson,Ezgjan Alioski,Lucas Digne,Timothy Castagne,Christopher Lenz,Christian Günter,Jonathan Schmid,Filip Kostić,Leo Dubois,Lucas Vázquez
Sebastian Rudy,MF,Valon Berisha,Benjamin Bourigeaud,Pascal Groß,Mateusz Klich,Kevin Strootman,Ángel Montoro,Sandro Tonali,Mikel Merino,Youri Tielemans,Joan Jordán
Marc-Oliver Kempf,CB,Takehiro Tomiyasu,Anaitz Arbilla,Mario Hermoso,Facundo Medina,Roger Ibanez,Wesley Fofana,Maxence Lacroix,Obite N'Dicka,Edmond Tapsoba,Vlad Chiricheș
Lucas Alario,FW,Patrik Schick,Tammy Abraham,Mattia Destro,Alexander Isak,Dušan Vlahović,Fabio Quagliarella,Chris Wood,Jean-Philippe Mateta,Jhon Córdoba,Arkadiusz Milik
Stefan Ilsanker,CB,Marvin Friedrich,Rafael Tolói,Martin Hinteregger,Gianluca Mancini,Moussa Niakhate,Emre Can,Cristian Romero,Obite N'Dicka,Óscar Mingueza,César Azpilicueta
Stefan Ilsanker,MF,Marco Parolo,Pape Gueye,Rubén Alcaraz,Luka Milivojević,Ellyes Skhiri,Casemiro,Lucas Tousart,Julian Baumgartlinger,Wataru Endo,Okay Yokuşlu
Stefan Bell,CB,Felipe,Florian Lejeune,Paulo Oliveira,Pape Abou Cisse,David García,Jan Bednarek,Keven Schlotterbeck,James Tarkowski,Giangiacomo Magnani,Aridane Hernández
Christian Günter,FB,Cristiano Biraghi,Ashley Young,Darko Lazović,José Luis Gayà,Kenny Lala,Rick Karsdorp,Kieran Tierney,Jonathan Clauss,Angeliño,Hans Hateboer
Benito Raman,FW,Josh Sargent,Jordan Ayew,Ondrej Duda,Oliver McBurnie,Sergi Guardiola,Lucas Boyé,Joelinton,Oliver Burke,Roger Martí,Richarlison
Benito Raman,AM,Takashi Inui,Robin Quaison,Theo Walcott,Nathanael Mbuku,Bobby Reid,Eric Junior Dina Ebimbe,Mathieu Cafaro,Édgar Méndez,Emmanuel Gyasi,Daniel James
Maximilian Arnold,MF,James Ward-Prowse,Xeka,Marcelo Brozović,Jonjo Shelvey,Rúben Neves,Unai López,Xaver Schlager,Marcel Sabitzer,Ángel Montoro,Robert Andrich
Manuel Neuer,GK,Alisson,Péter Gulácsi,Marc-André ter Stegen,Robert Sánchez,Ederson,David Ospina,Anthony Lopes,Pau López,Oliver Baumann,Benjamin Lecomte
Maximilian Mittelstädt,FB,Paulo Otávio,Christopher Lenz,Stefan Lainer,Matthieu Udol,Zeki Çelik,Diogo Dalot,Jorge Miramón,Sacha Boey,Luke Ayling,Renan Lodi
Serge Gnabry,AM,Phil Foden,Leroy Sané,Henrikh Mkhitaryan,Riyad Mahrez,Christian Pulisic,Sadio Mané,Kingsley Coman,Hirving Lozano,Amine Gouiri,Ousmane Dembélé
Manuel Akanji,CB,Niklas Süle,Milan Škriniar,Mario Hermoso,Dayot Upamecano,Nacho,Matthijs de Ligt,Gianluca Mancini,Clément Lenglet,Lukas Klostermann,Óscar Mingueza
Reece Oxford,CB,Keven Schlotterbeck,Omar Colley,Felipe,Ohis Felix Uduokhai,David García,Omar Alderete,Ozan Kabak,Pape Abou Cisse,Federico Ceccherini,Óscar Duarte
Robert Lewandowski,FW,André Silva,Ciro Immobile,Timo Werner,Borja Mayoral,Cristiano Ronaldo,Zlatan Ibrahimović,Kelechi Iheanacho,Edin Džeko,Kylian Mbappé,Romelu Lukaku
Michael Gregoritsch,FW,Oliver McBurnie,Josh Sargent,Sergi Guardiola,Fabian Klos,Oliver Burke,Jay Rodriguez,Raúl García,Enes Ünal,Jorge Molina,Santi Mina
Sheraldo Becker,AM,João Pedro,Anwar El Ghazi,Moussa Diaby,Roberto Insigne,Harvey Barnes,José Luis Morales,Timo Werner,Portu,Jarrod Bowen,Mikel Oyarzabal
Xaver Schlager,MF,Dominik Kohr,Baptiste Santamaria,Danny Latza,Habib Maïga,Aurélien Tchouaméni,Mauro Arambarri,Hernani,Imran Louza,Mikel Vesga,Jude Bellingham
